,city,hotel_name,people_number,days_number,price,staff,amenities,cleanliness,comfort,value_for_money,location,free_wifi,average_opinion
1684,Gdańsk,Elite Apartments Sandy,7,2,761.0,8.5,8.3,7.5,8.3,8.3,8.5,,8.7
1685,Gdańsk,Staywin Apartments,7,2,1188.0,8.3,8.6,8.7,8.9,8.9,9.7,8.9,8.8
1686,Gdańsk,Royal Gdansk,7,2,1187.0,9.0,8.2,8.6,8.4,8.3,7.8,8.5,8.2
1687,Gdańsk,Blue Mandarin Marina,7,2,967.0,8.9,8.6,8.8,8.8,8.6,9.6,8.9,8.6
1688,Gdańsk,CityFlow by Welcome Apartment,7,2,1642.0,9.6,8.4,9.1,8.5,9.0,9.4,10.0,8.9
1689,Gdańsk,Apartment Showtime Gdańsk,7,2,886.0,9.5,8.8,8.8,8.7,8.8,9.2,5.0,8.9
1690,Gdańsk,Staywin Riverfront Lofts,7,2,1169.0,8.6,8.9,8.9,9.1,8.9,9.4,8.8,8.9
1691,Gdańsk,Top Floor z widokiem na morze by Downtown Apartments,7,2,928.0,9.1,8.9,9.0,8.8,8.5,9.4,8.1,8.9
1692,Gdańsk,My Old Town Gdańsk - Apartament dwupoziomowy Długa 56,7,2,1593.0,9.1,8.2,7.8,7.9,8.4,9.7,8.0,8.4
1693,Gdańsk,Dom & House – Old Town Waterlane,7,2,1248.0,8.3,7.9,7.7,7.9,7.7,9.5,8.0,7.8
1694,Gdańsk,LTC Apartments Malczewskiego Centrum,7,2,689.0,9.0,8.8,8.6,8.8,8.7,8.4,9.3,8.7
1695,Gdańsk,DEOnly Wonderland,7,2,5394.0,10.0,9.8,10.0,10.0,9.6,10.0,9.6,10.0
1696,Gdańsk,"Apartament 2 pokoje w Gdańsku blisko morza 900 metrów, 1km do Sopotu Apartment 2 rooms nearby the sea 900 meters",7,2,897.0,8.4,7.5,7.1,7.5,7.4,8.4,,7.3
1697,Gdańsk,"Family Luxury Pure Old Town Apartament & Playstation 4, 1-8, 2 sypialnie i salon, parking pub, 60m2",7,2,899.0,9.2,9.0,9.0,9.3,9.0,9.7,10.0,9.0
1698,Gdańsk,Staywin Aura Gdańsk I,7,2,1169.0,8.4,8.4,8.5,8.4,8.4,9.3,8.6,8.5
1699,Gdańsk,ARCHE Dwór Uphagena Gdańsk,7,2,2522.0,9.2,9.1,9.4,9.4,9.1,8.8,9.1,9.1
1700,Gdańsk,Hostel Filip 2,7,2,780.0,9.0,8.4,8.8,8.4,8.6,9.4,8.6,8.5
1701,Gdańsk,Downtown Apartments Old Town Family - Długa Street,7,2,1057.0,7.3,7.8,7.8,7.8,7.6,9.4,,7.6
1702,Gdańsk,Hostel Przy Targu Rybnym,7,2,639.0,8.0,6.7,7.2,6.7,7.4,9.3,6.4,6.8
1703,Gdańsk,Rezydencja Wind Rose - luxury ApartHotel Gdansk,7,2,1350.0,9.1,9.1,9.0,8.9,8.8,8.6,7.9,9.0
1704,Gdańsk,Dom w sercu Gdańska,7,7,4867.0,9.5,8.6,9.5,9.1,9.1,8.6,,9.2
1705,Gdańsk,"Sailor Apartment by Marina Old Town for 8 people, free parking!",7,7,1187.0,8.4,8.0,8.9,8.0,8.6,8.9,,8.1
1706,Gdańsk,Apartament nad morzem - Brzeźno,7,7,2148.0,9.5,9.4,9.4,9.1,9.2,9.4,9.2,9.2
1707,Gdańsk,Elite Apartments Sandy,7,7,2215.0,8.5,8.3,7.5,8.3,8.3,8.5,,8.7
1708,Gdańsk,Blue Mandarin Marina,7,7,3261.0,8.9,8.6,8.8,8.8,8.6,9.6,8.9,8.6
1709,Gdańsk,Top Floor z widokiem na morze by Downtown Apartments,7,7,2831.0,9.1,8.9,9.0,8.8,8.5,9.4,8.1,8.9
1710,Gdańsk,CityFlow by Welcome Apartment,7,7,5496.0,9.6,8.4,9.1,8.5,9.0,9.4,10.0,8.9
